0 0 0 ..GBBB..GCCC.AAHIJ...HIJ.DDH.KEEEFFK
5 5 0 ...BBBCCCH..AAGHIJ..GHIJDD...KEEEFFK G98 C97 A99 H99 D99
5 5 0 BBB.....CCC.AAGHIJ..GHIJDD.H.KEEEFFK G98 B97 C99 A99 D99
5 5 0 BBB.....CCC.AAGH.J..GHIJ.DDHIKEEEFFK G98 B97 C99 A99 I99
5 5 0 BBB....CCCI.AAGHIJ..GH.J.DDH.KEEEFFK G98 B97 C98 A99 I99
5 5 0 .BBB...CCCI.AAGHIJ..GH.J.DDH.KEEEFFK G98 B98 C98 A99 I99
5 5 0 ...BBB..CCCJAAGHIJ..GHI.DD.H.KEEEFFK G98 C99 A99 J99 D99
5 5 0 ..BBB..CCCI.AAGHIJ..GH.J.DDH.KEEEFFK G98 B99 C98 A99 I99
5 5 0 ...BBB.CCC..AAGH.J..GHIJDD.HIKEEEFFK G98 C98 A99 I99 D99
5 5 0 ...BBB...CCC.AAH.J..GHIJDDGHIKEEEFFK G97 A98 I99 D99
5 5 0 ...BBB..CCCJAAGH.J..GHI..DDHIKEEEFFK G98 C99 A99 I99 J99
5 5 0 ...BBB..CCC.AAGH.J..GHIJDD.HIKEEEFFK G98 C99 A99 I99 D99
5 5 0 BBB......CCCAAGH.J..GHIJDD.HIKEEEFFK G98 B97 A99 I99 D99
5 5 0 ...BBB..CCC..AAHIJ..GHIJDDGH.KEEEFFK G97 C99 A98 D99
5 5 0 .BBB.....CCCAAGH.J..GHIJDD.HIKEEEFFK G98 B98 A99 I99 D99
5 5 0 ..BBB....CCCAAGH.J..GHIJDD.HIKEEEFFK G98 B99 A99 I99 D99
5 5 0 ...BBB..CCC.AA.H.J..GHIJDDGHIKEEEFFK G97 C99 A99 I99 D99
5 5 0 .BBB.....CCCAA.H.J..GHIJDDGHIKEEEFFK G97 B98 A99 I99 D99
5 5 0 ..BBB...CCC.AA.HIJ..GHIJDDGH.KEEEFFK G97 B99 C99 A99 D99
5 5 0 ...BBBCCC..JAAGHIJ..GHIK.DDH.KEEEFF. G98 C97 A99 J99 K99
