4 3 1 BBGCCJF.G.HJF.AAH.FDDD......I.EE..I. J99 A99 I99
4 3 1 BBGCCJF.G..JFAA.H.FDDDH.....I.EE..I. H99 J99 I99
4 3 1 BBGCC.F.G.H.FAA.H.F..DDD....IJEE..IJ J97 D98 I99
4 3 1 BBGCCJ..G.HJFAA.H.FDDD..F...I.EE..I. F99 J99 I99
4 3 1 BBGCC...G.H..AA.H.FDDDIJF...IJF..EE. F98 J98 E97
4 3 1 BBGCC...G.H.FAA.H.FDDDIJF...IJ...EE. F99 J98 E97
5 3 2 BBGCC.F.G.HJFAA.HJF..DDD....I..EE.I. D98 I99 E99
5 3 2 BBGCC...G..JFAA.HJFDDDH.F...I.EE..I. F99 H99 I99
5 3 2 BBGCC...G.HJAA..HJFDDDI.F...I.F...EE F98 A99 E96
5 3 2 BBG.CCF.G..JFAA.HJFDDDH.....I.EE..I. C99 H99 I99
5 3 2 BBGCC.F.G.HJF.AAHJF.DDD.....I.EE..I. A99 D99 I99
5 3 2 BBGCC...G.HJAA..HJFDDDI.F...I.F..EE. F98 A99 E97
5 3 2 BBGCC.F.G.H.FAA.HJF.DDDJ....I.EE..I. J99 D99 I99
5 3 2 BBGCC...G.HJFAA.HJF.DDD.F...I.EE..I. F99 D99 I99
5 3 2 BBGCC...G.HJF.AAHJFDDDI.F...I...EE.. F99 A99 E98
5 3 2 BBG.CCF.G.HJFAA.HJF.DDD.....I.EE..I. C99 D99 I99
5 3 2 BBGCC.F.G.HJF.AAHJF..DDD....I.EE..I. A99 D98 I99
5 3 2 BBGCC...G.HJFAA.HJF..DDDF...I.EE..I. F99 D98 I99
5 3 2 BBG.CCF.G.HJF.AAHJFDDDI.....I.....EE C99 A99 E96
5 3 2 BBG.CCF.G.HJFAA.HJF..DDD....I.EE..I. C99 D98 I99
5 3 2 BBGCC...G.HJ..AAHJFDDDI.F...I.F...EE F98 A99 E96
5 3 2 BBGCC...G.HJF.AAHJFDDDI.F...I.....EE F99 A99 E96
5 3 2 BBGCC.F.G.HJFAA.HJF.DDD.....I..EE.I. D99 I99 E99
5 3 2 BBGCC.F.G.HJF.AAHJFDDD......I..EE.I. A99 I99 E99
5 3 2 BBGCC.F.G.H.FAA.HJFDDD.J....I..EE.I. J99 I99 E99
5 3 2 BBGCC.F.G..JFAA.HJFDDDH.....I..EE.I. H99 I99 E99
5 3 2 BBGCC...G.HJ.AA.HJFDDD..F...I.FEE.I. F98 I99 E99
5 3 2 BBGCC...G.HJFAA.HJFDDD..F...I..EE.I. F99 I99 E99
5 3 2 BBGCC.F.G.HJFAA.HJF.DDD.....I...EEI. D99 I99 E98
5 3 2 BBG.CCF.G.HJFAA.HJFDDD......I..EE.I. C99 I99 E99
5 3 2 BBG.CCF.G.HJF.AAHJFDDDI.....I....EE. C99 A99 E97
5 3 2 BBGCC...G.HJ.AA.HJFDDD..F...I.F.EEI. F98 I99 E98
5 3 2 BBG.CCF.G.HJF.AAHJFDDDI.....I...EE.. C99 A99 E98
5 3 2 BBG.CCF.G.HJF.AAHJFDDDI.....I..EE... C99 A99 E99
5 3 2 BBGCC.F.G.HJFAA.HJF..DDD....I...EEI. D98 I99 E98
5 3 2 BBG.CCF.G.HJF.AAHJFDDD......I.EE..I. C99 A99 I99
5 3 2 BBG.CCF.G.H.F.AAHJFDDDIJ....I.EE.... C99 J99 A99
5 3 2 BBGCC.F.G.H.F.AAHJFDDDIJ....I.....EE J99 A99 E96
5 3 2 BBG.CC..G.HJF.AAHJFDDDI.F...I.EE.... C99 F99 A99
5 3 2 BBGCC.F.G..JFAA.HJFDDDH.....I...EEI. H99 I99 E98
5 3 2 BBGCC.F.G.H.F.AAHJFDDDIJ....I...EE.. J99 A99 E98
5 3 2 BBGCC.F.G.H.FAA.HJFDDD.J....I...EEI. J99 I99 E98
5 3 2 BBGCC...G.HJAA..HJFDDDI.F...I.FEE... F98 A99 E99
