3 3 0 G..BBBG..ICCHAAI.JH.DDDJH...EE..FFF. B98 D99 F98
3 3 0 GBBB..G..ICC.AAI.JHDDD.JH..EE.HFFF.. H99 E99 F99
3 3 0 G..BBBG..ICCHAAI.JHDDD.JH..EE..FFF.. B98 E99 F99
3 3 0 G..BBBG..ICCHAAI.JH.DDDJH...EE.FFF.. B98 D99 F99
3 3 0 GBBB..G..ICCHAAI.JH.DDDJH.EE...FFF.. D99 E98 F99
3 3 0 G.BBB.G..ICCHAAI..HDDD..H.EE.JFFF..J B99 J98 E98
3 3 0 G.BBB.G..ICCHAAI..HDDD.JH.EE.JFFF... B99 J99 E98
3 3 0 G..BBBG..ICCHAAI.JH.DDDJHEE...FFF... B98 D99 E97
3 3 0 GBBB..G..ICCHAAI..HDDD..H.EE.J.FFF.J J98 E98 F99
3 3 0 GBBB..G..ICCHAAI..HDDD.JH.EE.J.FFF.. J99 E98 F99
3 3 0 G..BBBG..ICCHAAI.JH.DDDJH.EE..FFF... B98 D99 E98
3 3 0 GBBB..G..ICC.AAI.JHDDD.JH.EE..HFFF.. H99 E98 F99
3 3 0 GBBB..G..ICCHAAI.JH.DDDJH..EE..FFF.. D99 E99 F99
3 3 0 GBBB..G..ICCHAAI.JH.DDDJH.EE....FFF. D99 E98 F98
3 3 0 G..BBBG..ICCHAAI.JHDDD.JH.EE...FFF.. B98 E98 F99
3 3 0 G..BBBG..ICCHAAI.JH.DDDJH..EE.FFF... B98 D99 E99
3 3 0 G..BBBG..ICC.AAI.JHDDD.JH...EEH..FFF B98 H99 F97
3 3 0 .BBB..G..ICCGAAI.JHDDD.JH...EEH..FFF G99 H99 F97
3 3 0 G.BBB.G..ICCHAAI.JHDDD.JH.EE....FFF. B99 E98 F98
3 3 0 GBBB..G..ICC.AAI.JHDDD.JH..EE.H..FFF H99 E99 F97
3 3 0 GBBB..G..ICCHAAI..HDDD..H..EEJ.FFF.J J98 E99 F99
3 3 0 G..BBBG..ICCHAAI.JHDDD.JH..EE....FFF B98 E99 F97
3 3 0 G.BBB.G..ICCHAAI.JHDDD.JH..EE...FFF. B99 E99 F98
3 3 0 GBBB..G..ICCHAAI.JH.DDDJH..EE....FFF D99 E99 F97
3 3 0 GBBB..G..ICC.AAI.JH.DDDJH...EEH..FFF H99 D99 F97
3 3 0 G.BBB.G..ICCHAAI.JH.DDDJH...EE..FFF. B99 D99 F98
